r,z,phi_T,phi_L
2.21433e-05,0.824121,0.0258414,0.120305
2.21433e-05,0.829146,0.0246842,0.11758
2.21433e-05,0.834171,0.0235362,0.114814
2.21433e-05,0.839196,0.0223988,0.112005
2.21433e-05,0.844221,0.0212733,0.109155
2.21433e-05,0.849246,0.0201608,0.106262
2.21433e-05,0.854271,0.0190628,0.103328
2.21433e-05,0.859296,0.0179805,0.100352
2.21433e-05,0.864322,0.0169152,0.0973339
2.21433e-05,0.869347,0.0158683,0.0942739
2.21433e-05,0.874372,0.0148413,0.0911719
2.21433e-05,0.879397,0.0138354,0.0880281
2.21433e-05,0.884422,0.0128521,0.0848423
2.21433e-05,0.889447,0.0118928,0.0816146
