r,N_ipsat
0.444286,0.30712
0.44468,0.307565
0.445075,0.30801
0.445469,0.308456
0.445864,0.308901
0.446258,0.309346
0.446653,0.309792
0.447047,0.310237
0.447442,0.310683
0.447837,0.311129
0.448231,0.311575
0.448626,0.312021
0.44902,0.312467
0.449415,0.312913
0.449809,0.313359
0.450204,0.313806
0.450598,0.314252
0.450993,0.314699
0.451388,0.315145
0.451782,0.315592
0.452177,0.316039
0.452571,0.316485
0.452966,0.316932
0.45336,0.317379
0.453755,0.317826
0.454149,0.318274
0.454544,0.318721
0.454939,0.319168
0.455333,0.319616
0.455728,0.320063
0.456122,0.320511
0.456517,0.320959
0.456911,0.321406
0.457306,0.321854
0.4577,0.322302
0.458095,0.32275
0.458489,0.323198
0.458884,0.323646
0.459279,0.324094
0.459673,0.324543
0.460068,0.324991
0.460462,0.325439
0.460857,0.325888
0.461251,0.326337
0.461646,0.326785
0.46204,0.327234
0.462435,0.327683
0.46283,0.328132
0.463224,0.328581
0.463619,0.32903
0.464013,0.329479
0.464408,0.329928
0.464802,0.330377
0.465197,0.330826
0.465591,0.331276
0.465986,0.331725
0.466381,0.332175
0.466775,0.332624
0.46717,0.333074
0.467564,0.333523
0.467959,0.333973
0.468353,0.334423
0.468748,0.334873
0.469142,0.335323
0.469537,0.335773
0.469931,0.336223
0.470326,0.336673
0.470721,0.337123
0.471115,0.337573
0.47151,0.338024
0.471904,0.338474
0.472299,0.338924
0.472693,0.339375
0.473088,0.339825
0.473482,0.340276
0.473877,0.340727
0.474272,0.341177
0.474666,0.341628
0.475061,0.342079
0.475455,0.34253
0.47585,0.342981
0.476244,0.343432
0.476639,0.343883
0.477033,0.344334
0.477428,0.344785
0.477823,0.345236
0.478217,0.345687
0.478612,0.346139
0.479006,0.34659
0.479401,0.347041
0.479795,0.347493
0.48019,0.347944
0.480584,0.348396
0.480979,0.348847
0.481374,0.349299
0.481768,0.349751
0.482163,0.350202
0.482557,0.350654
0.482952,0.351106
0.483346,0.351558
0.483741,0.35201
0.484135,0.352461
0.48453,0.352913
0.484924,0.353365
0.485319,0.353817
0.485714,0.35427
0.486108,0.354722
0.486503,0.355174
0.486897,0.355626
0.487292,0.356078
0.487686,0.356531
0.488081,0.356983
0.488475,0.357435
0.48887,0.357888
0.489265,0.35834
0.489659,0.358793
0.490054,0.359245
0.490448,0.359698
0.490843,0.36015
0.491237,0.360603
0.491632,0.361055
0.492026,0.361508
0.492421,0.361961
0.492816,0.362413
0.49321,0.362866
0.493605,0.363319
0.493999,0.363772
0.494394,0.364225
0.494788,0.364678
0.495183,0.36513
0.495577,0.365583
0.495972,0.366036
0.496366,0.366489
0.496761,0.366942
0.497156,0.367395
0.49755,0.367848
0.497945,0.368302
0.498339,0.368755
0.498734,0.369208
0.499128,0.369661
0.499523,0.370114
0.499917,0.370567
0.500312,0.371021
0.500707,0.371474
0.501101,0.371927
0.501496,0.37238
0.50189,0.372834
0.502285,0.373287
0.502679,0.37374
0.503074,0.374194
0.503468,0.374647
0.503863,0.3751
0.504258,0.375554
0.504652,0.376007
0.505047,0.376461
0.505441,0.376914
0.505836,0.377368
0.50623,0.377821
0.506625,0.378275
0.507019,0.378728
0.507414,0.379182
0.507809,0.379635
0.508203,0.380089
0.508598,0.380542
0.508992,0.380996
0.509387,0.381449
0.509781,0.381903
0.510176,0.382357
0.51057,0.38281
0.510965,0.383264
0.511359,0.383718
0.511754,0.384171
0.512149,0.384625
0.512543,0.385078
0.512938,0.385532
0.513332,0.385986
0.513727,0.386439
0.514121,0.386893
0.514516,0.387347
0.51491,0.3878
0.515305,0.388254
0.5157,0.388708
0.516094,0.389161
0.516489,0.389615
0.516883,0.390069
