r2,N_ipsat
3.09913,0.408747
3.10618,0.409265
3.11323,0.409783
3.12029,0.410301
3.12737,0.410819
3.13444,0.411336
3.14153,0.411858
3.14863,0.41238
3.15573,0.412902
3.16284,0.413424
3.16996,0.413945
3.17709,0.414467
3.18422,0.414989
3.19137,0.41551
3.19852,0.416032
3.20568,0.416553
3.21284,0.417074
3.22002,0.417595
3.2272,0.418116
3.23439,0.418637
3.24159,0.419157
3.2488,0.419678
3.25601,0.420199
3.26324,0.420719
3.27047,0.421239
3.27771,0.421759
3.28495,0.42228
3.29221,0.4228
3.29947,0.423319
3.30674,0.423839
3.31402,0.424359
3.32131,0.424878
3.32861,0.425398
3.33591,0.425917
3.34322,0.426436
3.35054,0.426955
3.35787,0.427474
3.3652,0.427993
3.37254,0.428512
3.3799,0.429031
3.38725,0.429549
3.39462,0.430068
3.402,0.430586
3.40938,0.431105
3.41677,0.431623
3.42417,0.432141
3.43158,0.432659
3.43899,0.433176
3.44642,0.433694
3.45385,0.434212
3.46129,0.434729
3.46873,0.435247
3.47619,0.435764
3.48365,0.436281
3.49112,0.436798
3.4986,0.437315
3.50609,0.437832
3.51359,0.438349
3.52109,0.438865
3.5286,0.439382
3.53612,0.439898
3.54365,0.440414
3.55118,0.440931
3.55873,0.441447
3.56628,0.441963
3.57384,0.442478
3.5814,0.442994
3.58898,0.44351
3.59656,0.444025
3.60415,0.444541
3.61175,0.445056
3.61936,0.445571
3.62697,0.446086
3.6346,0.446601
3.64223,0.447116
3.64987,0.447631
3.65752,0.448145
3.66517,0.44866
3.67283,0.449174
3.68051,0.449688
3.68819,0.450202
3.69587,0.450716
3.70357,0.45123
3.71127,0.451744
3.71898,0.452258
3.7267,0.452771
3.73443,0.453285
3.74216,0.453798
3.74991,0.454311
3.75766,0.454824
3.76542,0.455337
3.77319,0.45585
3.78096,0.456363
3.78874,0.456876
3.79654,0.457389
3.80434,0.457901
3.81214,0.458414
3.81996,0.458926
3.82778,0.459438
3.83561,0.45995
3.84345,0.460462
3.8513,0.460974
3.85916,0.461486
3.86702,0.461997
3.87489,0.462509
3.88277,0.46302
3.89066,0.463531
3.89855,0.464042
3.90646,0.464553
3.91437,0.465064
3.92229,0.465575
3.93021,0.466086
3.93815,0.466596
3.94609,0.467106
3.95404,0.467617
3.962,0.468127
3.96997,0.468637
3.97795,0.469147
3.98593,0.469656
3.99392,0.470166
4.00192,0.470675
4.00993,0.471185
4.01794,0.471694
4.02597,0.472203
4.034,0.472712
4.04204,0.473221
4.05009,0.47373
4.05814,0.474238
4.0662,0.474747
4.07428,0.475255
4.08236,0.475763
4.09044,0.476272
4.09854,0.47678
4.10664,0.477287
4.11475,0.477795
4.12287,0.478303
4.131,0.47881
4.13914,0.479317
4.14728,0.479825
4.15543,0.480332
4.16359,0.480839
4.17176,0.481345
4.17993,0.481852
4.18812,0.482359
4.19631,0.482865
4.20451,0.483371
4.21272,0.483877
4.22093,0.484383
4.22915,0.484889
4.23739,0.485395
4.24563,0.485901
4.25387,0.486406
4.26213,0.486911
4.27039,0.487416
4.27866,0.487922
4.28694,0.488426
4.29523,0.488931
4.30353,0.489436
4.31183,0.48994
4.32014,0.490445
4.32846,0.490949
4.33679,0.491453
4.34512,0.491957
4.35347,0.492461
4.36182,0.492965
4.37018,0.493468
4.37855,0.493971
4.38692,0.494475
4.39531,0.494978
4.4037,0.495481
4.4121,0.495984
4.4205,0.496486
4.42892,0.496989
4.43734,0.497491
4.44577,0.497993
4.45421,0.498496
4.46266,0.498998
4.47112,0.499499
4.47958,0.500001
4.48805,0.500503
4.49653,0.501004
4.50502,0.501505
4.51352,0.502006
4.52202,0.502507
4.53053,0.503008
4.53905,0.503509
4.54758,0.504009
4.55611,0.50451
4.56466,0.50501
4.57321,0.50551
4.58177,0.50601
4.59034,0.50651
4.59891,0.507009
4.6075,0.507509
4.61609,0.508008
4.62469,0.508507
4.63329,0.509006
4.64191,0.509505
4.65053,0.510004
4.65917,0.510502
4.66781,0.511001
4.67645,0.511499
4.68511,0.511997
4.69377,0.512495
4.70244,0.512993
4.71112,0.513491
4.71981,0.513988
4.72851,0.514485
4.73721,0.514983
4.74592,0.51548
4.75464,0.515977
4.76337,0.516473
4.77211,0.51697
4.78085,0.517466
4.7896,0.517963
4.79836,0.518459
4.80713,0.518955
4.8159,0.51945
4.82469,0.519946
4.83348,0.520441
4.84228,0.520937
4.85109,0.521432
4.8599,0.521927
4.86873,0.522422
4.87756,0.522916
4.8864,0.523411
4.89525,0.523905
4.9041,0.524399
4.91297,0.524893
4.92184,0.525387
4.93072,0.525881
4.93961,0.526374
4.9485,0.526868
4.9574,0.527361
4.96632,0.527854
4.97524,0.528347
4.98416,0.528839
4.9931,0.529332
5.00204,0.529824
5.011,0.530316
5.01996,0.530808
5.02892,0.5313
5.0379,0.531792
5.04688,0.532284
5.05587,0.532775
5.06487,0.533266
5.07388,0.533758
5.0829,0.534249
5.09192,0.534739
5.10095,0.53523
5.10999,0.535721
5.11904,0.536211
5.1281,0.536701
5.13716,0.537191
5.14623,0.537681
5.15531,0.53817
5.1644,0.53866
5.1735,0.539149
5.1826,0.539638
5.19171,0.540127
5.20083,0.540616
5.20996,0.541105
5.2191,0.541593
5.22824,0.542081
5.23739,0.542569
5.24655,0.543057
5.25572,0.543545
5.2649,0.544032
5.27408,0.54452
5.28327,0.545007
5.29247,0.545494
5.30168,0.545981
5.31089,0.546467
5.32012,0.546954
5.32935,0.54744
5.33859,0.547926
5.34784,0.548412
