r²,N_GBW
5.04698,0.633721
5.05598,0.634375
5.06498,0.635029
5.07398,0.635683
5.083,0.636335
5.09202,0.636987
5.10106,0.637639
5.1101,0.63829
5.11914,0.63894
5.1282,0.63959
5.13726,0.640239
5.14634,0.640888
5.15542,0.641536
5.1645,0.642183
5.1736,0.64283
5.1827,0.643476
5.19182,0.644121
5.20094,0.644766
5.21006,0.645411
5.2192,0.646054
5.22834,0.646697
5.2375,0.64734
5.24666,0.647982
5.25582,0.648623
5.265,0.649264
5.27418,0.649904
5.28338,0.650543
5.29258,0.651182
5.30178,0.65182
5.311,0.652458
5.32022,0.653095
5.32946,0.653731
5.3387,0.654367
5.34795,0.655002
5.3572,0.655637
5.36647,0.65627
5.37574,0.656904
5.38502,0.657536
5.39431,0.658168
5.4036,0.6588
5.41291,0.659431
5.42222,0.660061
5.43154,0.66069
5.44087,0.661319
5.4502,0.661947
5.45955,0.662575
5.4689,0.663202
5.47826,0.663828
5.48763,0.664454
5.497,0.665079
5.50639,0.665703
5.51578,0.666327
5.52518,0.66695
5.53459,0.667573
5.544,0.668195
5.55343,0.668816
5.56286,0.669437
5.5723,0.670057
5.58175,0.670676
5.5912,0.671295
5.60067,0.671913
5.61014,0.67253
5.61962,0.673147
5.62911,0.673763
5.63861,0.674379
5.64811,0.674994
5.65762,0.675608
5.66714,0.676221
5.67667,0.676834
5.68621,0.677447
5.69575,0.678058
5.7053,0.678669
5.71486,0.679279
5.72443,0.679889
5.73401,0.680498
5.74359,0.681106
5.75318,0.681714
5.76278,0.682321
5.77239,0.682928
5.78201,0.683533
5.79163,0.684138
5.80127,0.684743
5.81091,0.685347
5.82055,0.68595
5.83021,0.686552
5.83987,0.687154
5.84955,0.687755
5.85923,0.688355
5.86892,0.688955
5.87861,0.689554
5.88832,0.690153
5.89803,0.690751
5.90775,0.691348
5.91748,0.691944
5.92721,0.69254
5.93696,0.693135
5.94671,0.69373
5.95647,0.694324
5.96624,0.694917
5.97601,0.695509
5.9858,0.696101
5.99559,0.696692
6.00539,0.697283
6.0152,0.697872
6.02502,0.698461
6.03484,0.69905
6.04467,0.699638
6.05451,0.700225
6.06436,0.700811
6.07422,0.701397
6.08408,0.701982
6.09395,0.702567
6.10384,0.70315
6.11372,0.703733
6.12362,0.704316
6.13352,0.704897
6.14344,0.705478
6.15336,0.706059
6.16329,0.706638
6.17322,0.707217
6.18317,0.707796
6.19312,0.708373
6.20308,0.70895
6.21305,0.709527
6.22302,0.710102
6.23301,0.710677
6.243,0.711251
6.253,0.711825
6.26301,0.712398
6.27303,0.71297
6.28305,0.713541
6.29308,0.714112
6.30312,0.714682
6.31317,0.715252
6.32323,0.715821
6.33329,0.716389
6.34336,0.716956
6.35345,0.717523
6.36353,0.718089
6.37363,0.718654
6.38373,0.719219
6.39385,0.719782
6.40397,0.720346
6.4141,0.720908
6.42423,0.72147
