r,sigma_dipolo
0.00011542,1.43389e-07
0.000115686,1.44097e-07
0.000115953,1.44809e-07
0.00011622,1.45524e-07
0.000116488,1.46242e-07
0.000116757,1.46965e-07
0.000117026,1.4769e-07
0.000117296,1.4842e-07
0.000117566,1.49153e-07
0.000117837,1.49889e-07
0.000118109,1.5063e-07
0.000118381,1.51374e-07
0.000118654,1.52121e-07
0.000118928,1.52873e-07
0.000119202,1.53628e-07
0.000119477,1.54386e-07
0.000119752,1.55149e-07
0.000120028,1.55915e-07
0.000120305,1.56685e-07
0.000120583,1.57459e-07
0.000120861,1.58237e-07
0.000121139,1.59019e-07
0.000121419,1.59804e-07
0.000121698,1.60593e-07
0.000121979,1.61386e-07
0.00012226,1.62184e-07
0.000122542,1.62985e-07
0.000122825,1.6379e-07
0.000123108,1.64599e-07
0.000123392,1.65412e-07
0.000123676,1.66229e-07
0.000123961,1.6705e-07
0.000124247,1.67875e-07
0.000124534,1.68705e-07
0.000124821,1.69538e-07
0.000125109,1.70375e-07
0.000125397,1.71217e-07
0.000125686,1.72063e-07
0.000125976,1.72913e-07
0.000126267,1.73767e-07
0.000126558,1.74625e-07
0.000126849,1.75488e-07
0.000127142,1.76355e-07
0.000127435,1.77226e-07
0.000127729,1.78102e-07
0.000128023,1.78982e-07
0.000128319,1.79866e-07
0.000128614,1.80754e-07
0.000128911,1.81647e-07
0.000129208,1.82545e-07
0.000129506,1.83447e-07
0.000129805,1.84353e-07
0.000130104,1.85264e-07
0.000130404,1.86179e-07
0.000130705,1.87099e-07
0.000131006,1.88023e-07
0.000131308,1.88952e-07
0.000131611,1.89886e-07
0.000131914,1.90824e-07
0.000132219,1.91767e-07
0.000132523,1.92714e-07
0.000132829,1.93667e-07
0.000133135,1.94624e-07
0.000133442,1.95585e-07
0.00013375,1.96552e-07
0.000134058,1.97523e-07
0.000134367,1.98499e-07
0.000134677,1.9948e-07
0.000134988,2.00465e-07
0.000135299,2.01456e-07
0.000135611,2.02451e-07
