r2,N_GBW
3.12743,0.233652
3.13451,0.234109
3.14159,0.234567
3.14869,0.235025
3.15579,0.235483
3.1629,0.235941
3.17002,0.2364
3.17715,0.236859
3.18429,0.237318
3.19143,0.237777
3.19858,0.238236
3.20574,0.238696
3.21291,0.239156
3.22008,0.239616
3.22727,0.240076
3.23446,0.240537
3.24166,0.240998
3.24886,0.241459
3.25608,0.24192
3.2633,0.242381
3.27053,0.242843
3.27777,0.243305
3.28502,0.243767
3.29228,0.244229
3.29954,0.244691
3.30681,0.245154
3.31409,0.245617
3.32138,0.24608
3.32867,0.246543
3.33598,0.247007
3.34329,0.24747
3.35061,0.247934
3.35793,0.248398
3.36527,0.248862
3.37261,0.249327
3.37996,0.249791
3.38732,0.250256
3.39469,0.250721
3.40207,0.251187
3.40945,0.251652
3.41684,0.252118
3.42424,0.252583
3.43165,0.253049
3.43906,0.253516
3.44649,0.253982
3.45392,0.254448
3.46136,0.254915
3.4688,0.255382
3.47626,0.255849
3.48372,0.256317
3.49119,0.256784
3.49867,0.257252
3.50616,0.25772
3.51366,0.258188
3.52116,0.258656
3.52867,0.259124
3.53619,0.259593
3.54372,0.260062
3.55125,0.260531
3.5588,0.261
3.56635,0.261469
3.57391,0.261939
3.58147,0.262408
3.58905,0.262878
3.59663,0.263348
3.60423,0.263818
3.61182,0.264289
3.61943,0.264759
3.62705,0.26523
3.63467,0.265701
3.6423,0.266172
3.64994,0.266643
3.65759,0.267115
3.66524,0.267586
3.67291,0.268058
3.68058,0.26853
3.68826,0.269002
3.69595,0.269474
3.70364,0.269946
3.71135,0.270419
3.71906,0.270892
3.72678,0.271364
3.7345,0.271837
3.74224,0.272311
3.74998,0.272784
3.75773,0.273257
3.76549,0.273731
3.77326,0.274205
3.78104,0.274679
3.78882,0.275153
3.79661,0.275627
3.80441,0.276102
3.81222,0.276576
3.82003,0.277051
3.82786,0.277526
3.83569,0.278001
3.84353,0.278476
3.85138,0.278951
3.85923,0.279427
3.8671,0.279902
3.87497,0.280378
3.88285,0.280854
3.89073,0.28133
3.89863,0.281806
3.90653,0.282282
3.91445,0.282759
3.92236,0.283236
3.93029,0.283712
3.93823,0.284189
3.94617,0.284666
3.95412,0.285143
3.96208,0.285621
3.97005,0.286098
3.97803,0.286576
3.98601,0.287053
3.994,0.287531
4.002,0.288009
4.01001,0.288487
4.01802,0.288966
4.02605,0.289444
4.03408,0.289922
4.04212,0.290401
4.05017,0.29088
4.05822,0.291359
4.06629,0.291838
4.07436,0.292317
4.08244,0.292796
4.09052,0.293275
4.09862,0.293755
4.10672,0.294235
4.11484,0.294714
4.12295,0.295194
4.13108,0.295674
4.13922,0.296154
4.14736,0.296635
4.15551,0.297115
4.16367,0.297595
4.17184,0.298076
4.18002,0.298557
4.1882,0.299037
4.19639,0.299518
4.20459,0.299999
4.2128,0.300481
4.22101,0.300962
4.22924,0.301443
4.23747,0.301925
4.24571,0.302406
4.25396,0.302888
4.26221,0.30337
4.27048,0.303852
4.27875,0.304334
4.28703,0.304816
4.29532,0.305298
4.30361,0.30578
4.31192,0.306263
4.32023,0.306745
4.32855,0.307228
4.33687,0.307711
4.34521,0.308194
4.35355,0.308677
4.36191,0.30916
4.37027,0.309643
4.37863,0.310126
4.38701,0.310609
4.39539,0.311093
4.40378,0.311576
4.41218,0.31206
4.42059,0.312544
4.42901,0.313027
4.43743,0.313511
4.44586,0.313995
4.4543,0.314479
4.46275,0.314963
4.47121,0.315448
4.47967,0.315932
4.48814,0.316416
4.49662,0.316901
4.50511,0.317386
4.51361,0.31787
4.52211,0.318355
4.53062,0.31884
4.53914,0.319325
4.54767,0.31981
4.55621,0.320295
4.56475,0.32078
4.5733,0.321265
4.58186,0.321751
4.59043,0.322236
4.599,0.322722
4.60759,0.323207
4.61618,0.323693
4.62478,0.324178
4.63339,0.324664
4.642,0.32515
4.65063,0.325636
4.65926,0.326122
4.6679,0.326608
4.67655,0.327094
4.6852,0.32758
4.69387,0.328067
4.70254,0.328553
4.71122,0.32904
4.71991,0.329526
4.7286,0.330013
4.73731,0.330499
