r,N_cgc
0.00616297,1.04232
0.0063358,1.07139
0.00651349,1.10126
0.00669616,1.13196
0.00688395,1.1635
0.00707701,1.19593
0.00727548,1.22925
0.00747952,1.26349
0.00768928,1.29868
0.00790493,1.33484
0.00812662,1.372
0.00835453,1.41019
0.00858883,1.44943
0.0088297,1.48976
0.00907733,1.5312
0.0093319,1.57378
0.00959361,1.61754
0.00986266,1.6625
0.0101393,1.7087
0.0104236,1.75617
0.0107159,1.80495
0.0110165,1.85506
0.0113254,1.90656
0.011643,1.95947
0.0119696,2.01383
0.0123052,2.06969
0.0126503,2.12707
0.0130051,2.18603
0.0133698,2.2466
0.0137448,2.30883
0.0141303,2.37276
0.0145265,2.43844
0.0149339,2.50591
0.0153528,2.57523
0.0157833,2.64643
0.016226,2.71957
0.016681,2.7947
0.0171488,2.87188
0.0176298,2.95115
0.0181242,3.03257
0.0186325,3.11621
0.019155,3.20211
0.0196922,3.29033
0.0202445,3.38094
0.0208122,3.474
0.0213959,3.56957
0.0219959,3.66772
0.0226128,3.76851
0.023247,3.87201
0.0238989,3.97829
0.0245692,4.08742
0.0252582,4.19948
0.0259666,4.31454
0.0266948,4.43267
0.0274434,4.55395
0.0282131,4.67847
0.0290043,4.80631
0.0298177,4.93754
0.030654,5.07225
0.0315136,5.21054
0.0323974,5.35248
0.033306,5.49817
0.0342401,5.6477
0.0352003,5.80117
0.0361875,5.95867
0.0372024,6.1203
0.0382457,6.28616
0.0393183,6.45636
0.040421,6.63099
0.0415546,6.81017
0.0427199,6.99399
0.043918,7.18258
0.0451497,7.37605
0.0464159,7.5745
0.0477176,7.77806
0.0490558,7.98684
0.0504316,8.20097
0.0518459,8.42056
0.0532999,8.64575
0.0547947,8.87665
0.0563314,9.1134
0.0579112,9.35613
0.0595353,9.60497
0.061205,9.86005
0.0629215,10.1215
0.0646861,10.3895
0.0665002,10.6641
0.0683652,10.9456
0.0702824,11.234
0.0722535,11.5295
0.0742798,11.8322
0.076363,12.1423
0.0785046,12.4599
0.0807062,12.7852
0.0829696,13.1184
0.0852964,13.4596
0.0876886,13.8089
0.0901478,14.1665
0.0926759,14.5326
0.095275,14.9073
0.097947,15.2908
0.100694,15.6832
0.103518,16.0848
0.106421,16.4955
0.109405,16.9157
0.112474,17.3455
0.115628,17.7851
0.118871,18.2345
0.122204,18.694
0.125632,19.1637
0.129155,19.6437
0.132777,20.1343
0.136501,20.6356
0.140329,21.1477
0.144264,21.6709
0.14831,22.2051
0.15247,22.7506
0.156746,23.3076
0.161141,23.8761
0.165661,24.4563
0.170307,25.0483
0.175083,25.6523
0.179993,26.2684
0.185041,26.8967
0.19023,27.5373
0.195565,28.1903
0.20105,28.8559
0.206688,29.5341
0.212485,30.225
0.218444,30.9288
0.22457,31.6454
0.230868,32.375
0.237342,33.1176
0.243999,33.8732
0.250842,34.642
0.257876,35.424
0.265108,36.2191
0.272543,37.0275
0.280187,37.849
0.288044,38.6838
0.296123,39.5318
0.304427,40.3929
0.312965,41.2672
0.321742,42.1546
0.330765,43.0551
0.340041,43.9685
0.349578,44.8949
0.359381,45.8341
0.36946,46.7859
0.379822,47.7504
0.390474,48.7274
0.401424,49.7167
0.412682,50.7182
0.424256,51.7317
0.436154,52.7571
0.448386,53.7942
0.46096,54.8427
0.473888,55.9025
0.487178,56.9734
0.500841,58.0551
0.514887,59.1474
0.529327,60.2501
0.544171,61.3628
0.559433,62.4854
0.575122,63.6175
0.591251,64.759
0.607832,65.9094
0.624879,67.0685
0.642403,68.236
0.660419,69.4116
0.678941,70.5951
0.697981,71.786
0.717556,72.9841
0.73768,74.1891
0.758368,75.4006
0.779636,76.6184
0.801501,77.8422
0.823979,79.0716
0.847087,80.3063
0.870843,81.546
0.895266,82.7905
0.920373,84.0394
0.946185,85.2924
0.97272,86.5494
1,87.8099
1.02804,89.0738
1.05688,90.3408
1.08652,91.6107
1.11699,92.8831
1.14831,94.158
1.18052,95.435
1.21362,96.714
1.24766,97.9947
1.28265,99.277
1.31862,100.561
1.3556,101.846
1.39362,103.132
1.4327,104.419
1.47288,105.707
1.51419,106.995
1.55665,108.284
1.60031,109.574
1.64519,110.864
1.69133,112.154
1.73876,113.445
1.78753,114.735
1.83766,116.026
1.88919,117.317
1.94217,118.608
1.99664,119.898
2.05264,121.189
2.1102,122.479
2.16938,123.769
2.23022,125.059
2.29277,126.348
2.35707,127.637
2.42317,128.926
2.49113,130.215
2.56099,131.503
2.63282,132.791
2.70665,134.078
2.78256,135.365
2.8606,136.652
2.94082,137.938
3.02329,139.223
3.10808,140.509
3.19525,141.793
3.28486,143.077
3.37698,144.361
3.47169,145.644
3.56905,146.926
3.66914,148.208
3.77204,149.489
3.87783,150.77
3.98658,152.05
4.09838,153.33
4.21332,154.608
4.33148,155.886
4.45296,157.164
4.57784,158.44
4.70622,159.716
4.83821,160.991
4.9739,162.265
5.11339,163.539
5.25679,164.812
5.40422,166.083
5.55578,167.354
5.71159,168.624
5.87177,169.894
6.03644,171.162
6.20573,172.429
6.37977,173.695
6.55869,174.96
6.74262,176.224
6.93172,177.488
7.12612,178.749
7.32597,180.01
7.53142,181.27
7.74264,182.528
7.95978,183.785
8.18301,185.041
8.4125,186.296
8.64842,187.549
8.89097,188.801
9.14031,190.051
9.39665,191.3
9.66017,192.548
9.93109,193.794
10.2096,195.038
10.4959,196.281
10.7903,197.522
11.0929,198.762
11.404,199.999
11.7238,201.235
12.0526,202.469
12.3906,203.701
12.7381,204.932
13.0954,206.16
13.4626,207.386
13.8402,208.61
14.2283,209.832
14.6273,211.052
15.0376,212.269
15.4593,213.484
15.8928,214.697
16.3385,215.907
16.7967,217.115
17.2678,218.32
17.7521,219.523
18.2499,220.723
18.7617,221.92
19.2879,223.114
19.8288,224.305
20.3849,225.494
20.9566,226.679
21.5443,227.861
22.1486,229.04
22.7697,230.215
23.4083,231.387
24.0648,232.556
24.7396,233.721
25.4335,234.882
26.1467,236.04
26.88,237.194
27.6339,238.343
28.4088,239.489
29.2056,240.631
30.0246,241.768
30.8666,242.901
31.7323,244.03
32.6222,245.154
33.5371,246.274
34.4776,247.388
35.4446,248.498
36.4386,249.603
37.4605,250.703
38.5111,251.797
39.5911,252.886
40.7014,253.97
41.8429,255.048
43.0164,256.121
44.2227,257.187
45.463,258.248
46.738,259.302
48.0487,260.35
49.3962,261.392
50.7815,262.427
52.2057,263.456
53.6698,264.477
55.1749,265.492
56.7223,266.5
58.3131,267.5
59.9484,268.494
61.6297,269.479
63.358,270.457
65.1349,271.427
66.9616,272.389
68.8395,273.343
70.7701,274.288
72.7548,275.225
74.7952,276.154
76.8928,277.073
79.0493,277.984
81.2662,278.885
83.5453,279.778
85.8883,280.661
88.297,281.534
90.7733,282.397
93.319,283.251
95.9361,284.094
