r,x,sigma
0.0001,0.003089817908,1.153672119e-08
0.0001,0.003338027674,1.085983425e-08
0.0001,0.003606176508,1.021639079e-08
0.0001,0.003895866145,9.604986098e-09
0.0001,0.00420882699,9.024258235e-09
0.0001,0.004546928456,8.472903988e-09
0.0001,0.004912190126,7.949664334e-09
0.0001,0.005306793821,7.453324991e-09
0.0001,0.00573309663,6.982717335e-09
0.0001,0.006193644991,6.536715168e-09
0.0001,0.006691189902,6.114237725e-09
0.0001,0.007228703351,5.714244448e-09
0.0001,0.007809396072,5.335729125e-09
0.0001,0.008436736722,4.977729094e-09
0.0001,0.009114472599,4.639320213e-09
0.0001,0.009846652028,4.319604659e-09
0.0001,0.01063764854,4.017732375e-09
0.0001,0.01149218701,3.732878397e-09
0.0001,0.01241537185,3.464260683e-09
0.0001,0.01341271753,3.211109009e-09
0.0001,0.0144901815,2.972703785e-09
0.0001,0.0156541998,2.748349901e-09
0.0001,0.01691172545,2.537376828e-09
0.0001,0.01827027004,2.33914633e-09
0.0001,0.01973794859,2.153045354e-09
0.0001,0.02132352798,1.978483802e-09
0.0001,0.02303647938,1.814907139e-09
0.0001,0.02488703476,1.661775598e-09
0.0001,0.02688624807,1.518576231e-09
0.0001,0.02904606122,1.384821534e-09
0.0001,0.03137937544,1.260041237e-09
0.0001,0.03390012833,1.14378934e-09
0.0001,0.03662337714,1.035636749e-09
0.0001,0.03956538866,9.3517604e-10
0.0001,0.04274373643,8.420187649e-10
0.0001,0.04617740571,7.557934936e-10
0.0001,0.04988690686,6.761445913e-10
0.0001,0.05389439787,6.027309307e-10
0.0001,0.05822381672,5.352239404e-10
0.0001,0.06290102436,4.733137049e-10
0.0001,0.0679539592,4.16698077e-10
0.0001,0.07341280397,3.650904726e-10
0.0001,0.07931016603,3.182102716e-10
0.0001,0.08568127215,2.757873294e-10
0.0001,0.0925641789,2.375578654e-10
0.0001,0.1,2.032719018e-10
0.0001059560179,1e-06,1.2465069e-06
0.0001059560179,1.080331519e-06,1.204037344e-06
0.0001059560179,1.167116191e-06,1.162885768e-06
0.0001059560179,1.260872408e-06,1.123014871e-06
0.0001059560179,1.362160204e-06,1.084388322e-06
0.0001059560179,1.471584602e-06,1.046970728e-06
0.0001059560179,1.589799228e-06,1.010727616e-06
0.0001059560179,1.717510215e-06,9.756254076e-07
0.0001059560179,1.85548042e-06,9.416314092e-07
0.0001059560179,2.004533981e-06,9.087137747e-07
0.0001059560179,2.165561241e-06,8.768414937e-07
0.0001059560179,2.339524065e-06,8.459843715e-07
0.0001059560179,2.527461587e-06,8.161130117e-07
0.0001059560179,2.730496415e-06,7.871987853e-07
0.0001059560179,2.94984134e-06,7.592138345e-07
0.0001059560179,3.186806576e-06,7.321310237e-07
0.0001059560179,3.44280759e-06,7.059239492e-07
0.0001059560179,3.719373553e-06,6.805669093e-07
0.0001059560179,4.018156481e-06,6.560348857e-07
0.0001059560179,4.340941095e-06,6.32303533e-07
0.0001059560179,4.689655487e-06,6.09349158e-07
0.0001059560179,5.066382636e-06,5.87148703e-07
0.0001059560179,5.47337285e-06,5.656797321e-07
0.0001059560179,5.913057205e-06,5.449204224e-07
0.0001059560179,6.388062073e-06,5.24849534e-07
0.0001059560179,6.901224803e-06,5.054464054e-07
0.0001059560179,7.455610675e-06,4.86690942e-07
0.0001059560179,8.054531206e-06,4.685635939e-07
0.0001059560179,8.701563933e-06,4.510453495e-07
0.0001059560179,9.400573782e-06,4.341177146e-07
0.0001059560179,1.015573615e-05,4.177627083e-07
0.0001059560179,1.097156187e-05,4.019628391e-07
0.0001059560179,1.18529241e-05,3.867011061e-07
0.0001059560179,1.28050875e-05,3.719609791e-07
0.0001059560179,1.383373963e-05,3.577263808e-07
0.0001059560179,1.494502495e-05,3.439816869e-07
0.0001059560179,1.61455815e-05,3.307117109e-07
0.0001059560179,1.744258059e-05,3.179016861e-07
0.0001059560179,1.884376959e-05,3.055372674e-07
0.0001059560179,2.035751822e-05,2.936045114e-07
0.0001059560179,2.199286859e-05,2.820898632e-07
0.0001059560179,2.375958913e-05,2.709801624e-07
0.0001059560179,2.566823302e-05,2.602626098e-07
0.0001059560179,2.773020117e-05,2.499247788e-07
0.0001059560179,2.995781035e-05,2.399545962e-07
0.0001059560179,3.236436676e-05,2.303403341e-07
0.0001059560179,3.496424551e-05,2.210705997e-07
0.0001059560179,3.777297646e-05,2.121343322e-07
0.0001059560179,4.080733704e-05,2.035207831e-07
0.0001059560179,4.408545242e-05,1.952195263e-07
0.0001059560179,4.762690378e-05,1.872204286e-07
0.0001059560179,5.145284531e-05,1.795136528e-07
0.0001059560179,5.558613053e-05,1.720896538e-07
0.0001059560179,6.005144884e-05,1.649391702e-07
0.0001059560179,6.487547295e-05,1.58053196e-07
0.0001059560179,7.008701824e-05,1.51423004e-07
0.0001059560179,7.571721488e-05,1.450401281e-07
0.0001059560179,8.179969378e-05,1.388963424e-07
0.0001059560179,8.837078744e-05,1.329836695e-07
0.0001059560179,9.546974703e-05,1.272943755e-07
0.0001059560179,0.0001031389768,1.218209514e-07
0.0001059560179,0.0001114242875,1.165561158e-07
0.0001059560179,0.0001203751698,1.114928045e-07
0.0001059560179,0.0001300450901,1.06624173e-07
0.0001059560179,0.0001404918097,1.019435779e-07
0.0001059560179,0.0001517777302,9.744458026e-08
0.0001059560179,0.0001639702658,9.3120936e-08
0.0001059560179,0.0001771422463,8.896659729e-08
0.0001059560179,0.0001913723521,8.497569414e-08
0.0001059560179,0.0002067455838,8.114254307e-08
0.0001059560179,0.0002233537706,7.746163507e-08
0.0001059560179,0.0002412961183,7.392763205e-08
0.0001059560179,0.0002606798021,7.053535754e-08
0.0001059560179,0.0002816206065,6.727980287e-08
0.0001059560179,0.0003042436177,6.415611512e-08
0.0001059560179,0.0003286839697,6.11595945e-08
0.0001059560179,0.0003550876522,5.828568476e-08
0.0001059560179,0.0003836123827,5.552997635e-08
0.0001059560179,0.0004144285482,5.288820415e-08
0.0001059560179,0.000447720223,5.035623081e-08
0.0001059560179,0.0004836862686,4.79300621e-08
0.0001059560179,0.0005225415214,4.560581889e-08
0.0001059560179,0.0005645180756,4.337975969e-08
0.0001059560179,0.0006098666701,4.124825191e-08
0.0001059560179,0.0006588581862,3.92077965e-08
0.0001059560179,0.0007117852651,3.72549936e-08
0.0001059560179,0.0007689640567,3.53865612e-08
0.0001059560179,0.0008307361075,3.359932055e-08
0.0001059560179,0.000897470401,3.189020883e-08
0.0001059560179,0.0009695655616,3.025625359e-08
0.0001059560179,0.001047452236,2.869458373e-08
0.0001059560179,0.001131595665,2.720242453e-08
0.0001059560179,0.001222498464,2.577709506e-08
0.0001059560179,0.001320703623,2.44160059e-08
0.0001059560179,0.001426797751,2.311665067e-08
0.0001059560179,0.001541414582,2.187661043e-08
0.0001059560179,0.001665238757,2.069354738e-08
0.0001059560179,0.001799009916,1.956520927e-08
