r2,N_IIM
4.4543,0.410166
4.46275,0.410609
4.47121,0.411052
4.47967,0.411495
4.48814,0.411938
4.49662,0.41238
4.50511,0.412822
4.51361,0.413264
4.52211,0.413706
4.53062,0.414147
4.53914,0.414588
4.54767,0.41503
4.55621,0.41547
4.56475,0.415911
4.5733,0.416351
4.58186,0.416792
4.59043,0.417232
4.599,0.417671
4.60759,0.418111
4.61618,0.41855
4.62478,0.418989
4.63339,0.419428
4.642,0.419867
4.65063,0.420306
4.65926,0.420744
4.6679,0.421182
4.67655,0.42162
4.6852,0.422057
4.69387,0.422495
4.70254,0.422932
4.71122,0.423369
4.71991,0.423806
4.7286,0.424242
4.73731,0.424678
4.74602,0.425115
4.75474,0.42555
4.76347,0.425986
4.7722,0.426422
4.78095,0.426857
4.7897,0.427292
4.79846,0.427727
4.80723,0.428161
4.816,0.428595
4.82478,0.42903
4.83358,0.429464
4.84238,0.429897
4.85118,0.430331
4.86,0.430764
4.86882,0.431197
4.87766,0.43163
4.8865,0.432062
4.89534,0.432495
4.9042,0.432927
4.91306,0.433359
4.92194,0.433791
4.93082,0.434222
4.9397,0.434653
4.9486,0.435084
4.9575,0.435515
4.96642,0.435946
4.97534,0.436376
4.98426,0.436807
4.9932,0.437237
5.00214,0.437666
5.0111,0.438096
5.02006,0.438525
5.02902,0.438954
5.038,0.439383
5.04698,0.439812
5.05598,0.44024
5.06498,0.440668
5.07398,0.441096
5.083,0.441524
5.09202,0.441952
5.10106,0.442379
5.1101,0.442806
5.11914,0.443233
5.1282,0.443659
5.13726,0.444086
5.14634,0.444512
5.15542,0.444938
5.1645,0.445364
5.1736,0.445789
5.1827,0.446215
5.19182,0.44664
5.20094,0.447065
5.21006,0.447489
5.2192,0.447914
5.22834,0.448338
5.2375,0.448762
5.24666,0.449186
5.25582,0.449609
5.265,0.450032
5.27418,0.450456
5.28338,0.450878
5.29258,0.451301
5.30178,0.451723
5.311,0.452146
5.32022,0.452568
5.32946,0.452989
5.3387,0.453411
5.34795,0.453832
5.3572,0.454253
5.36647,0.454674
5.37574,0.455095
5.38502,0.455515
5.39431,0.455935
5.4036,0.456355
5.41291,0.456775
5.42222,0.457195
5.43154,0.457614
5.44087,0.458033
5.4502,0.458452
5.45955,0.45887
5.4689,0.459289
5.47826,0.459707
5.48763,0.460125
5.497,0.460542
5.50639,0.46096
5.51578,0.461377
5.52518,0.461794
5.53459,0.462211
5.544,0.462628
5.55343,0.463044
5.56286,0.46346
5.5723,0.463876
5.58175,0.464292
5.5912,0.464707
5.60067,0.465122
5.61014,0.465537
5.61962,0.465952
5.62911,0.466367
5.63861,0.466781
5.64811,0.467195
5.65762,0.467609
5.66714,0.468023
5.67667,0.468436
5.68621,0.468849
5.69575,0.469262
5.7053,0.469675
5.71486,0.470088
5.72443,0.4705
5.73401,0.470912
5.74359,0.471324
5.75318,0.471735
5.76278,0.472147
5.77239,0.472558
5.78201,0.472969
5.79163,0.47338
5.80127,0.47379
5.81091,0.4742
5.82055,0.47461
5.83021,0.47502
5.83987,0.47543
5.84955,0.475839
5.85923,0.476248
5.86892,0.476657
5.87861,0.477066
5.88832,0.477474
5.89803,0.477883
5.90775,0.478291
5.91748,0.478698
5.92721,0.479106
5.93696,0.479513
5.94671,0.47992
5.95647,0.480327
5.96624,0.480734
5.97601,0.48114
5.9858,0.481546
5.99559,0.481952
6.00539,0.482358
6.0152,0.482764
6.02502,0.483169
6.03484,0.483574
6.04467,0.483979
6.05451,0.484383
6.06436,0.484788
6.07422,0.485192
6.08408,0.485596
6.09395,0.485999
6.10384,0.486403
6.11372,0.486806
6.12362,0.487209
6.13352,0.487612
6.14344,0.488014
6.15336,0.488417
6.16329,0.488819
6.17322,0.489221
6.18317,0.489622
6.19312,0.490024
6.20308,0.490425
6.21305,0.490826
6.22302,0.491227
6.23301,0.491627
6.243,0.492027
6.253,0.492428
6.26301,0.492827
6.27303,0.493227
6.28305,0.493626
6.29308,0.494025
6.30312,0.494424
6.31317,0.494823
6.32323,0.495221
6.33329,0.49562
6.34336,0.496018
6.35345,0.496415
6.36353,0.496813
6.37363,0.49721
6.38373,0.497607
6.39385,0.498004
6.40397,0.498401
6.4141,0.498797
6.42423,0.499194
6.43438,0.499589
6.44453,0.499985
6.45469,0.500381
6.46486,0.500776
6.47503,0.501171
6.48522,0.501566
6.49541,0.50196
6.50561,0.502355
6.51582,0.502749
6.52604,0.503143
6.53626,0.503536
6.54649,0.50393
6.55673,0.504323
6.56698,0.504716
6.57724,0.505109
6.5875,0.505501
6.59778,0.505894
