r,N_gbw
0.0093319,0.00318186
0.00959361,0.00327094
0.00986266,0.00336252
0.0101393,0.00345666
0.0104236,0.00355342
0.0107159,0.0036529
0.0110165,0.00375515
0.0113254,0.00386025
0.011643,0.0039683
0.0119696,0.00407936
0.0123052,0.00419352
0.0126503,0.00431087
0.0130051,0.0044315
0.0133698,0.00455549
0.0137448,0.00468295
0.0141303,0.00481396
0.0145265,0.00494863
0.0149339,0.00508706
0.0153528,0.00522935
0.0157833,0.00537561
0.016226,0.00552594
0.016681,0.00568047
0.0171488,0.00583931
0.0176298,0.00600258
0.0181242,0.00617039
0.0186325,0.00634289
0.019155,0.00652019
0.0196922,0.00670243
0.0202445,0.00688974
0.0208122,0.00708227
0.0213959,0.00728016
0.0219959,0.00748356
0.0226128,0.00769262
0.023247,0.0079075
0.0238989,0.00812835
0.0245692,0.00835535
0.0252582,0.00858865
0.0259666,0.00882845
0.0266948,0.0090749
0.0274434,0.00932821
0.0282131,0.00958855
0.0290043,0.00985612
0.0298177,0.0101311
0.030654,0.0104137
0.0315136,0.0107042
0.0323974,0.0110027
0.033306,0.0113096
0.0342401,0.0116249
0.0352003,0.0119489
0.0361875,0.0122819
0.0372024,0.0126242
0.0382457,0.0129759
0.0393183,0.0133374
0.040421,0.0137088
0.0415546,0.0140905
0.0427199,0.0144828
0.043918,0.0148859
0.0451497,0.0153001
0.0464159,0.0157258
0.0477176,0.0161632
0.0490558,0.0166127
0.0504316,0.0170746
0.0518459,0.0175492
0.0532999,0.0180369
0.0547947,0.0185379
0.0563314,0.0190528
0.0579112,0.0195818
0.0595353,0.0201254
0.061205,0.0206839
0.0629215,0.0212577
0.0646861,0.0218473
0.0665002,0.022453
0.0683652,0.0230753
0.0702824,0.0237147
0.0722535,0.0243715
0.0742798,0.0250463
0.076363,0.0257396
0.0785046,0.0264517
0.0807062,0.0271833
0.0829696,0.0279349
0.0852964,0.0287069
0.0876886,0.0294999
0.0901478,0.0303144
0.0926759,0.0311511
0.095275,0.0320105
0.097947,0.0328932
0.100694,0.0337998
0.103518,0.034731
0.106421,0.0356873
0.109405,0.0366694
0.112474,0.037678
0.115628,0.0387139
