r,N_gbw
0.000795978,0.0034384
0.000818301,0.00353482
0.00084125,0.00363394
0.000864842,0.00373583
0.000889097,0.00384059
0.000914031,0.00394828
0.000939665,0.00405899
0.000966017,0.0041728
0.000993109,0.00428981
0.00102096,0.00441009
0.00104959,0.00453375
0.00107903,0.00466088
0.00110929,0.00479156
0.0011404,0.00492592
0.00117238,0.00506403
0.00120526,0.00520602
0.00123906,0.00535199
0.00127381,0.00550206
0.00130954,0.00565633
0.00134626,0.00581492
0.00138402,0.00597796
0.00142283,0.00614557
0.00146273,0.00631787
0.00150376,0.00649501
0.00154593,0.00667711
0.00158928,0.00686432
0.00163385,0.00705678
0.00167967,0.00725462
0.00172678,0.00745802
0.00177521,0.00766711
0.00182499,0.00788207
0.00187617,0.00810305
0.00192879,0.00833022
0.00198288,0.00856376
0.00203849,0.00880384
0.00209566,0.00905065
0.00215443,0.00930438
0.00221486,0.00956522
0.00227697,0.00983337
0.00234083,0.010109
0.00240648,0.0103924
0.00247396,0.0106838
0.00254335,0.0109832
0.00261467,0.0112911
0.002688,0.0116076
0.00276339,0.011933
0.00284088,0.0122675
0.00292056,0.0126114
0.00300246,0.0129649
0.00308666,0.0133283
0.00317323,0.0137019
0.00326222,0.0140859
0.00335371,0.0144807
0.00344776,0.0148866
0.00354446,0.0153038
0.00364386,0.0157327
0.00374605,0.0161737
0.00385111,0.016627
0.00395911,0.017093
0.00407014,0.017572
0.00418429,0.0180644
0.00430164,0.0185707
0.00442227,0.0190911
0.0045463,0.0196261
0.0046738,0.020176
0.00480487,0.0207414
0.00493962,0.0213226
0.00507815,0.0219201
0.00522057,0.0225342
0.00536698,0.0231656
0.00551749,0.0238147
0.00567223,0.0244819
0.00583131,0.0251678
0.00599484,0.0258729
0.00616297,0.0265977
0.0063358,0.0273429
0.00651349,0.0281088
0.00669616,0.0288962
0.00688395,0.0297056
0.00707701,0.0305377
0.00727548,0.0313931
0.00747952,0.0322724
0.00768928,0.0331762
0.00790493,0.0341054
0.00812662,0.0350605
0.00835453,0.0360424
0.00858883,0.0370517
0.0088297,0.0380892
0.00907733,0.0391557
0.0093319,0.0402521
0.00959361,0.0413791
0.00986266,0.0425376
0.0101393,0.0437285
0.0104236,0.0449526
0.0107159,0.046211
0.0110165,0.0475045
0.0113254,0.0488342
0.011643,0.050201
0.0119696,0.051606
0.0123052,0.0530502
0.0126503,0.0545347
0.0130051,0.0560607
0.0133698,0.0576293
0.0137448,0.0592417
0.0141303,0.0608991
0.0145265,0.0626027
0.0149339,0.0643539
0.0153528,0.0661539
0.0157833,0.0680042
0.016226,0.069906
0.016681,0.0718609
0.0171488,0.0738703
0.0176298,0.0759357
0.0181242,0.0780586
0.0186325,0.0802408
0.019155,0.0824837
0.0196922,0.0847891
0.0202445,0.0871587
0.0208122,0.0895943
0.0213959,0.0920978
0.0219959,0.0946709
0.0226128,0.0973156
0.023247,0.100034
0.0238989,0.102828
0.0245692,0.105699
0.0252582,0.108651
0.0259666,0.111684
0.0266948,0.114802
0.0274434,0.118007
0.0282131,0.1213
0.0290043,0.124685
0.0298177,0.128164
0.030654,0.131739
0.0315136,0.135414
0.0323974,0.13919
0.033306,0.143072
0.0342401,0.14706
0.0352003,0.15116
0.0361875,0.155373
0.0372024,0.159702
0.0382457,0.164152
0.0393183,0.168724
0.040421,0.173423
0.0415546,0.178252
0.0427199,0.183215
0.043918,0.188314
0.0451497,0.193555
0.0464159,0.19894
0.0477176,0.204473
0.0490558,0.210159
0.0504316,0.216002
0.0518459,0.222006
0.0532999,0.228175
0.0547947,0.234514
0.0563314,0.241028
0.0579112,0.24772
0.0595353,0.254597
0.061205,0.261662
0.0629215,0.268921
0.0646861,0.276379
0.0665002,0.284042
0.0683652,0.291915
0.0702824,0.300003
0.0722535,0.308312
0.0742798,0.316849
0.076363,0.325619
0.0785046,0.334628
0.0807062,0.343883
0.0829696,0.35339
0.0852964,0.363156
0.0876886,0.373188
0.0901478,0.383493
0.0926759,0.394078
0.095275,0.404949
0.097947,0.416116
0.100694,0.427585
0.103518,0.439364
0.106421,0.451462
0.109405,0.463887
0.112474,0.476646
0.115628,0.48975
0.118871,0.503206
0.122204,0.517024
0.125632,0.531213
0.129155,0.545783
0.132777,0.560742
0.136501,0.576102
0.140329,0.591872
0.144264,0.608063
0.14831,0.624685
0.15247,0.641749
0.156746,0.659266
0.161141,0.677248
0.165661,0.695706
0.170307,0.714651
0.175083,0.734096
0.179993,0.754054
0.185041,0.774535
0.19023,0.795555
0.195565,0.817124
0.20105,0.839258
0.206688,0.861969
0.212485,0.88527
0.218444,0.909177
0.22457,0.933703
0.230868,0.958864
0.237342,0.984673
0.243999,1.01115
0.250842,1.0383
0.257876,1.06615
0.265108,1.0947
0.272543,1.12399
0.280187,1.15402
0.288044,1.18481
0.296123,1.21637
0.304427,1.24873
0.312965,1.2819
0.321742,1.3159
0.330765,1.35075
0.340041,1.38646
0.349578,1.42306
0.359381,1.46055
0.36946,1.49897
0.379822,1.53832
0.390474,1.57864
0.401424,1.61992
0.412682,1.66221
0.424256,1.70551
0.436154,1.74985
0.448386,1.79524
0.46096,1.8417
0.473888,1.88926
0.487178,1.93794
0.500841,1.98775
0.514887,2.03871
0.529327,2.09084
0.544171,2.14417
0.559433,2.19871
0.575122,2.25448
0.591251,2.3115
0.607832,2.3698
0.624879,2.42938
0.642403,2.49027
0.660419,2.55249
0.678941,2.61605
0.697981,2.68097
0.717556,2.74728
0.73768,2.81498
0.758368,2.88409
0.779636,2.95463
0.801501,3.02661
0.823979,3.10004
0.847087,3.17495
0.870843,3.25134
0.895266,3.32923
0.920373,3.40862
0.946185,3.48953
0.97272,3.57196
1,3.65592
1.02804,3.74142
1.05688,3.82846
1.08652,3.91705
1.11699,4.00719
1.14831,4.09887
1.18052,4.19211
1.21362,4.28688
1.24766,4.3832
1.28265,4.48105
1.31862,4.58043
1.3556,4.68132
1.39362,4.78371
1.4327,4.88758
1.47288,4.99293
1.51419,5.09972
1.55665,5.20794
1.60031,5.31755
1.64519,5.42854
1.69133,5.54087
1.73876,5.65451
1.78753,5.76942
1.83766,5.88556
1.88919,6.00289
1.94217,6.12136
1.99664,6.24093
2.05264,6.36154
2.1102,6.48313
2.16938,6.60565
2.23022,6.72903
2.29277,6.85322
2.35707,6.97813
2.42317,7.10369
2.49113,7.22984
2.56099,7.35649
2.63282,7.48356
2.70665,7.61097
2.78256,7.73861
2.8606,7.86641
2.94082,7.99427
3.02329,8.12209
3.10808,8.24977
3.19525,8.37721
3.28486,8.5043
3.37698,8.63094
3.47169,8.75701
3.56905,8.88242
3.66914,9.00703
3.77204,9.13075
3.87783,9.25345
3.98658,9.37503
4.09838,9.49537
4.21332,9.61436
4.33148,9.73188
4.45296,9.84782
4.57784,9.96207
4.70622,10.0745
4.83821,10.1851
4.9739,10.2936
5.11339,10.4
5.25679,10.5042
5.40422,10.6061
5.55578,10.7057
5.71159,10.8027
5.87177,10.8972
6.03644,10.9891
6.20573,11.0783
6.37977,11.1647
6.55869,11.2483
6.74262,11.3291
6.93172,11.407
7.12612,11.4819
7.32597,11.5539
7.53142,11.623
7.74264,11.6891
7.95978,11.7522
8.18301,11.8123
8.4125,11.8695
8.64842,11.9238
8.89097,11.9752
9.14031,12.0238
9.39665,12.0696
9.66017,12.1126
9.93109,12.1529
10.2096,12.1907
10.4959,12.2259
10.7903,12.2587
11.0929,12.2891
11.404,12.3172
11.7238,12.3432
12.0526,12.367
12.3906,12.3889
12.7381,12.4089
13.0954,12.4271
13.4626,12.4436
13.8402,12.4585
14.2283,12.472
14.6273,12.4841
15.0376,12.4949
15.4593,12.5046
15.8928,12.5131
16.3385,12.5207
16.7967,12.5274
17.2678,12.5332
17.7521,12.5383
18.2499,12.5427
18.7617,12.5465
19.2879,12.5498
19.8288,12.5526
20.3849,12.555
20.9566,12.557
21.5443,12.5587
22.1486,12.5602
22.7697,12.5614
23.4083,12.5624
24.0648,12.5632
24.7396,12.5638
25.4335,12.5644
26.1467,12.5648
26.88,12.5652
27.6339,12.5654
28.4088,12.5657
29.2056,12.5658
30.0246,12.566
30.8666,12.5661
31.7323,12.5661
32.6222,12.5662
33.5371,12.5662
34.4776,12.5663
35.4446,12.5663
36.4386,12.5663
37.4605,12.5663
38.5111,12.5663
39.5911,12.5664
40.7014,12.5664
41.8429,12.5664
43.0164,12.5664
44.2227,12.5664
45.463,12.5664
46.738,12.5664
48.0487,12.5664
49.3962,12.5664
50.7815,12.5664
52.2057,12.5664
53.6698,12.5664
55.1749,12.5664
56.7223,12.5664
58.3131,12.5664
59.9484,12.5664
61.6297,12.5664
63.358,12.5664
65.1349,12.5664
66.9616,12.5664
68.8395,12.5664
70.7701,12.5664
72.7548,12.5664
74.7952,12.5664
76.8928,12.5664
79.0493,12.5664
81.2662,12.5664
83.5453,12.5664
85.8883,12.5664
88.297,12.5664
90.7733,12.5664
93.319,12.5664
95.9361,12.5664
98.6266,12.5664
101.393,12.5664
104.236,12.5664
107.159,12.5664
110.165,12.5664
113.254,12.5664
116.43,12.5664
119.696,12.5664
123.052,12.5664
126.503,12.5664
130.051,12.5664
133.698,12.5664
137.448,12.5664
141.303,12.5664
145.265,12.5664
149.339,12.5664
153.528,12.5664
157.833,12.5664
162.26,12.5664
166.81,12.5664
171.488,12.5664
176.298,12.5664
181.242,12.5664
186.325,12.5664
191.55,12.5664
196.922,12.5664
202.445,12.5664
208.122,12.5664
213.959,12.5664
219.959,12.5664
226.128,12.5664
232.47,12.5664
238.989,12.5664
245.692,12.5664
252.582,12.5664
259.666,12.5664
266.948,12.5664
274.434,12.5664
282.131,12.5664
290.043,12.5664
298.177,12.5664
306.54,12.5664
315.136,12.5664
323.974,12.5664
333.06,12.5664
342.401,12.5664
352.003,12.5664
361.875,12.5664
372.024,12.5664
382.457,12.5664
393.183,12.5664
404.21,12.5664
415.546,12.5664
427.199,12.5664
439.18,12.5664
451.497,12.5664
464.159,12.5664
477.176,12.5664
490.558,12.5664
504.316,12.5664
518.459,12.5664
532.999,12.5664
547.947,12.5664
563.314,12.5664
579.112,12.5664
595.353,12.5664
612.05,12.5664
629.215,12.5664
646.861,12.5664
665.002,12.5664
683.652,12.5664
702.824,12.5664
722.535,12.5664
742.798,12.5664
763.63,12.5664
785.046,12.5664
807.062,12.5664
829.696,12.5664
852.964,12.5664
876.886,12.5664
901.478,12.5664
926.759,12.5664
952.75,12.5664
979.47,12.5664
1006.94,12.5664
1035.18,12.5664
1064.21,12.5664
1094.05,12.5664
1124.74,12.5664
1156.28,12.5664
1188.71,12.5664
1222.04,12.5664
1256.32,12.5664
1291.55,12.5664
1327.77,12.5664
1365.01,12.5664
1403.29,12.5664
1442.64,12.5664
1483.1,12.5664
1524.7,12.5664
1567.46,12.5664
1611.41,12.5664
1656.61,12.5664
1703.07,12.5664
1750.83,12.5664
1799.93,12.5664
1850.41,12.5664
1902.3,12.5664
1955.65,12.5664
2010.5,12.5664
2066.88,12.5664
2124.85,12.5664
2184.44,12.5664
2245.7,12.5664
2308.68,12.5664
2373.42,12.5664
2439.99,12.5664
2508.42,12.5664
2578.76,12.5664
2651.08,12.5664
2725.43,12.5664
2801.87,12.5664
2880.44,12.5664
2961.23,12.5664
3044.27,12.5664
3129.65,12.5664
3217.42,12.5664
3307.65,12.5664
3400.41,12.5664
3495.78,12.5664
3593.81,12.5664
3694.6,12.5664
3798.22,12.5664
3904.74,12.5664
4014.24,12.5664
4126.82,12.5664
4242.56,12.5664
4361.54,12.5664
